subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Noble,Cangrande_II_della_Scala,Q704799,male,27,,2007.0
Noble,Cangrande_I_della_Scala,Q785349,male,38,,2005.0
Noble,Carl_Ernst_Fürst_Fugger_von_Glött,Q18130550,male,81,,2014.0
Noble,Carl_Gustaf_Tessin,Q1038496,male,75,,2005.0
Noble,Carl_Löwenhielm,Q1069154,male,89,,2005.0
Noble,Carlo_Barberini,Q1186836,male,74,,2010.0
Noble,Carlo_Buonaparte,Q151869,male,39,,2005.0
Noble,Carlo_Emanuele_dal_Pozzo_della_Cisterna,Q1029893,male,77,,2010.0
Noble,"Carlos_Fitz-James_Stuart,_4th_Duke_of_Liria_and_Jérica",Q3660057,male,35,,2009.0
Noble,Carlos_Gereda_y_de_Borbón,Q5292383,male,70,,2011.0
Noble,"Carlos_Miguel_Fitz-James_Stuart,_14th_Duke_of_Alba",Q3660105,male,41,,2008.0
Noble,"Caroline_Campbell,_Duchess_of_Argyll",Q16537349,female,61,,2017.0
Noble,"Caroline_Osborne,_Duchess_of_Leeds",Q75296565,female,74,,2020.0
Noble,Caroline_of_Berlepsch,Q1734255,female,57,,2011.0
Noble,Caroline_of_Stolberg-Gedern_(1732–1796),Q3822922,female,64,,2012.0
Noble,"Casimir,_Margrave_of_Brandenburg-Kulmbach",Q566474,male,46,,2006.0
Noble,Casimir_William_of_Hesse-Homburg,Q175620,male,36,,2011.0
Noble,Bengt_von_Hofsten,Q106185492,male,79,,2022.0
Noble,Poul_Christian_Stemann,Q2606890,male,91,,2005.0
Noble,Prince_Adolf_of_Hohenlohe-Ingelfingen,Q364932,male,76,,2008.0
Noble,Prince_Christian_Charles_of_Schleswig-Holstein-Sonderburg-Plön-Norburg,Q821078,male,32,,2011.0
Noble,Prince_Ernst_of_Hohenberg,Q78659,male,50,,2005.0
Noble,Prince_Eugene_of_Saxe-Hildburghausen,Q829170,male,65,,2011.0
Noble,Prince_Eugène_de_Ligne,Q558747,male,67,,2007.0
Noble,Prince_Francis_Ernest_of_Hesse-Darmstadt,Q883519,male,21,,2011.0
Noble,Prince_Frederick_Ferdinand_Constantin_of_Saxe-Weimar-Eisenach,Q1459071,male,35,,2012.0
Noble,Prince_George_Alexandrovich_Yuryevsky,Q3102183,male,41,,2010.0
Noble,Prince_Maurice_of_Savoy,Q610738,male,64,,2009.0
Noble,Prince_Mikhail_Cantacuzène,Q4212602,male,80,,2009.0
Noble,Prince_William_of_Hesse-Philippsthal-Barchfeld,Q3120353,male,59,,2014.0
Noble,Princess_Albertina_Frederica_of_Baden-Durlach,Q2670667,female,73,,2010.0
Noble,Princess_Anne_de_Bauffremont-Courtenay,Q7244548,female,26,,2008.0
Noble,Princess_Bernardina_Christina_Sophia_of_Saxe-Weimar-Eisenach,Q525192,female,33,,2012.0
Noble,Princess_Casimire_of_Anhalt-Dessau,Q92267,female,29,,2011.0
Noble,Princess_Catherine_Yurievskaya,Q2941803,female,81,,2010.0
Noble,Princess_Charlotte_Amalie_of_Hesse-Philippsthal,Q515707,female,71,,2011.0
Noble,Princess_Charlotte_Sophie_of_Saxe-Coburg-Saalfeld,Q65234,female,79,,2006.0
Noble,Princess_Eleonore_Juliane_of_Brandenburg-Ansbach,Q433399,female,61,,2010.0
Noble,Princess_Elisabeth_Charlotte_of_Anhalt-Harzgerode,Q515759,female,76,,2012.0
Noble,Princess_Irina_Nikolaïevna_Orlova,Q7244648,female,71,,2011.0
Noble,Princess_Johanna_Charlotte_of_Anhalt-Dessau,Q442590,female,68,,2011.0
Noble,Princess_Juliane_of_Hesse-Philippsthal,Q454236,female,38,,2011.0
Noble,Princess_Klementine_von_Metternich,Q64748723,,16,,2019.0
Noble,Princess_Leopoldine_Marie_of_Anhalt-Dessau,Q273068,female,66,,2012.0
Noble,Princess_Louise_of_Stolberg-Gedern_(1764–1834),Q4268359,female,70,,2014.0
Noble,Princess_Maria_Anna_Victoria_of_Savoy,Q563524,female,77,,2006.0
Noble,Princess_Maria_Leopoldine_of_Anhalt-Dessau,Q96537,female,23,,2011.0
Noble,Princess_Nika_Yourievitch,Q18209777,female,79,,2014.0
Noble,Princess_Olga_Alexandrovna_Yurievskaya,Q3350398,female,52,,2020.0
Noble,Princess_Sophia_Wilhelmina_of_Saxe-Coburg-Saalfeld,Q88596,female,34,,2012.0
Noble,Princess_Sophie_of_Hohenberg,Q112102,female,89,,2004.0
Noble,Princess_Tatiana_Alexandrovna_Yusupova,Q65034322,female,50,,2024.0
Noble,Princess_Yoshiko_(Arisugawa-no-miya),Q8944971,female,89,,2019.0
Noble,Przemysław_of_Racibórz,Q668223,male,48,,2009.0
Noble,Pál_Esterházy_(1587–1645),Q7264027,male,58,,2012.0
Noble,"Robert_Lisle,_1st_Baron_Lisle_of_Rougemont",Q15110556,male,56,,2013.0
Noble,"Robert_de_Brus,_6th_Lord_of_Annandale",Q1772833,male,61,,2005.0
Noble,Robert_de_Montesquiou,Q669685,male,66,,2005.0
Noble,"Robert_de_Vere,_19th_Earl_of_Oxford",Q3439967,male,57,,2008.0
Noble,"Robert_de_Vere,_6th_Earl_of_Oxford",Q7351443,male,74,,2007.0
Noble,"Robert_de_Vere,_Duke_of_Ireland",Q352566,male,30,,2024.0
Noble,"Robin_Russell,_14th_Duke_of_Bedford",Q6515794,male,63,,2003.0
Noble,"Roderick_Mackenzie,_4th_Earl_of_Cromartie",Q26758918,male,85,,2020.0
Noble,"Roger_Grey,_10th_Earl_of_Stamford",Q7358265,male,80,,2010.0
Noble,"Roger_Manners,_5th_Earl_of_Rutland",Q1431726,male,36,,2005.0
Noble,"Roger_Mortimer,_1st_Earl_of_March",Q312990,male,43,,2004.0
Noble,"Roger_Mortimer,_2nd_Earl_of_March",Q679266,male,32,,2004.0
Noble,"Roger_Mortimer,_4th_Earl_of_March",Q953078,male,24,,2004.0
Noble,"Roger_la_Warr,_3rd_Baron_De_La_Warr",Q18576952,male,44,,2019.0
Noble,"Roland_Cubitt,_3rd_Baron_Ashcombe",Q7360200,male,63,,2007.0
Noble,Roman_Potocki,Q7362134,male,63,,2004.0
Noble,Roman_Sanguszko,Q2972188,male,81,,2005.0
Noble,Rosa_Vercellana,Q276000,female,52,,2007.0
Noble,"Rosamund_Greaves,_11th_Countess_of_Dysart",Q15623745,female,89,,2013.0
Noble,Rose_Kennedy,Q236540,female,105,,2002.0
Noble,Rose_Lok,Q16854161,female,87,,2013.0
Noble,Rosine_Elisabeth_Menthe,Q104226,female,38,,2011.0
Noble,"Rudolf_I,_Duke_of_Bavaria",Q61211,male,45,,2005.0
Noble,"Rudolph,_Prince_of_Anhalt-Zerbst",Q519491,male,45,,2008.0
Noble,"Rudolph_Augustus,_Duke_of_Braunschweig-Wolfenbüttel",Q65655,male,77,,2005.0
Noble,"Rudolph_Feilding,_Viscount_Feilding",Q17180887,male,52,,2014.0
Noble,Schack_Carl_Rantzau,Q11999684,male,72,,2016.0
Noble,Elisabeth_Augusta_Lindenov,Q1755340,female,54,,2009.0
Noble,Elisabeth_Helene_von_Vieregg,Q2720666,female,25,,2009.0
Noble,Elisabeth_of_Brunswick-Grubenhagen,Q7828080,female,36,,2017.0
Noble,"Michael_Hare,_2nd_Viscount_Blakenham",Q6830950,male,80,,2006.0
Noble,Mercedes_Castellanos_de_Anchorena,Q6010811,female,80,,2020.0
Noble,Pribislaw_I,Q97741,male,51,,2011.0
Noble,Barnabe_Googe,Q734076,male,54,,2003.0
Noble,Baron_Aschwin_of_Sierstorpff-Cramm,Q2658302,male,63,,2024.0
Noble,Baroness_Gösta_von_dem_Bussche-Haddenhausen,Q2099997,female,94,,2010.0
Noble,Baroness_Tuputupu_Vaea,Q4862978,female,93,,2012.0
Noble,"Basil_Feldman,_Baron_Feldman",Q810021,male,96,,2004.0
Noble,"Baudouin,_Prince_of_Ligne",Q2065875,male,67,,2007.0
Noble,Beatrice_d'Este,Q813280,female,22,,2005.0
Noble,"Beatrix,_Countess_of_Schönburg-Glauchau",Q75346524,female,91,,2022.0
Noble,Beatrix_of_Baden,Q107693,female,43,,2011.0
Noble,Benigna_Marie_of_Reuss-Ebersdorf,Q99251,female,56,,2012.0
Noble,"Berkeley_Moynihan,_1st_Baron_Moynihan",Q4892066,male,71,,2006.0
Noble,Bernard-René_Jourdan_de_Launay,Q822225,male,49,,2004.0
Noble,"Bernard_VII,_Lord_of_Lippe",Q95997,male,83,,2012.0
Noble,Bernardine_of_Lippe,Q109246,female,65,,2012.0
Noble,Bernhard_Gustav_of_Baden-Durlach,Q91959,male,46,,2012.0
Noble,"Bernhard_III,_Margrave_of_Baden-Baden",Q72923,male,62,,2011.0
Noble,"Bernhard_VIII,_Count_of_Lippe",Q96001,male,36,,2011.0
Noble,"Bertram_Ashburnham,_4th_Earl_of_Ashburnham",Q21855104,male,81,,2015.0
Noble,"Bertrand_Nompar_de_Caumont,_marquis_de_La_Force",Q16826009,male,49,,2014.0
Noble,Bethsabée_de_Rothschild,Q2900103,female,85,,2004.0
Noble,Bianca_Maria_Visconti,Q1232642,female,43,,2005.0
Noble,Bina_Rothschild,Q106615320,female,63,,2021.0
Noble,Blanche_Girouard,Q68298575,female,42,,2019.0
Noble,"Bodo_III,_Count_of_Stolberg-Wernigerode",Q831671,male,71,,2011.0
Noble,"Bogislaw_XIV,_Duke_of_Pomerania",Q571957,male,57,,2005.0
Noble,"Bohuslav,_Count_Chotek_of_Chotkow_and_Wognin",Q348098,male,67,,2011.0
Noble,Bolko_II_of_Ziębice,Q553940,male,41,,2009.0
Noble,Boni_de_Castellane,Q2856849,male,65,,2005.0
Noble,Boni_de_Castellane,Q2910117,male,65,,2005.0
Noble,"Boniface_IV,_Marquis_of_Montferrat",Q1072631,male,18,,2011.0
Noble,Bonne_Marie_Félicité_de_Sérent,Q2910214,female,84,,2014.0
Noble,David_Chavchavadze,Q2621015,male,90,,2007.0
Noble,"David_Mountbatten,_3rd_Marquess_of_Milford_Haven",Q2752971,male,51,,2005.0
Noble,"Deborah_Cavendish,_Duchess_of_Devonshire",Q2019530,female,94,,2002.0
Noble,Delphine_de_Custine,Q42529327,female,56,,2020.0
Noble,Dermide_Leclerc,Q16857818,male,6,,2013.0
Noble,Alfred_Wojciech_Potocki,Q4723654,male,76,,2004.0
Noble,"Alice_de_Warenne,_Countess_of_Arundel",Q4726175,female,51,,2008.0
Noble,Anna_Tyszkiewicz,Q4374905,female,88,,2005.0
Noble,"Anne_Braye,_Baroness_Cobham",Q4768189,female,57,,2009.0
Noble,"Anne_Herbert,_Countess_of_Pembroke",Q1089921,female,37,,2008.0
Noble,"Anne_Howard,_Countess_of_Arundel",Q4768458,female,73,,2008.0
Noble,Anne_de_Balbi,Q2349312,female,89,,2009.0
Noble,Antónia_Zichy,Q1467306,female,72,,2010.0
Noble,"António_Luís_de_Meneses,_1st_Marquis_of_Marialva",Q320457,male,79,,2006.0
Noble,"António_da_Silva_Monteiro,_1st_Count_of_Silva_Monteiro",Q4777624,male,63,,2012.0
Noble,"Honoré_I,_Lord_of_Monaco",Q1386282,male,59,,2006.0
Noble,Hugh_Despenser_the_Elder,Q2685455,male,65,,2004.0
Noble,"Hugh_Montgomerie,_12th_Earl_of_Eglinton",Q4484969,male,80,,2005.0
Noble,Hugh_de_Courtenay,Q2646284,male,41,,2010.0
Noble,"Hugh_de_Courtenay,_1st/9th_Earl_of_Devon",Q2392256,male,64,,2008.0
Noble,"Hugh_de_Courtenay,_2nd/10th_Earl_of_Devon",Q76884,male,74,,2007.0
Noble,Hugo_Kołłątaj,Q127345,male,62,,2004.0
Noble,Hugo_von_Radolin,Q215314,male,76,,2021.0
Noble,Hugo_zu_Hohenlohe-Öhringen,Q85035,male,81,,2017.0
Noble,"John_Mowbray,_3rd_Duke_of_Norfolk",Q326769,male,46,,2005.0
Noble,"John_Nevill,_5th_Marquess_of_Abergavenny",Q3676062,male,86,,2005.0
Noble,"John_Neville,_3rd_Baron_Latimer",Q15281133,male,50,,2009.0
Noble,John_Paston_(died_1466),Q16258158,male,45,,2013.0
Noble,"John_Pearson,_3rd_Viscount_Cowdray",Q14945412,male,85,,2013.0
Noble,"John_Petre,_1st_Baron_Petre",Q6252690,male,64,,2007.0
Noble,"John_Philip_II,_Wild-_and_Rhinegrave_of_Salm-Dhaun",Q1876123,male,48,,2012.0
Noble,"John_Philip_III,_Wild-_and_Rhinegrave_of_Salm-Dhaun",Q2610866,male,18,,2012.0
Noble,"John_Roper-Curzon,_20th_Baron_Teynham",Q26457245,male,93,,2020.0
Noble,"John_Rous,_4th_Earl_of_Stradbroke",Q6255766,male,80,,2006.0
Noble,"John_Savage,_2nd_Earl_Rivers",Q6256733,male,51,,2008.0
Noble,"John_Scott,_1st_Earl_of_Clonmell",Q15440169,male,59,,2009.0
Noble,"John_Segrave,_2nd_Baron_Segrave",Q7528055,male,69,,2009.0
Noble,"John_Segrave,_4th_Baron_Segrave",Q16863364,male,38,,2013.0
Noble,"John_Sinclair,_23rd_Lord_Herdmanston",Q75532254,male,34,,2021.0
Noble,"John_Stuart,_Lord_Mount_Stuart",Q275288,male,27,,2005.0
Noble,"John_Talbot,_16th_Earl_of_Shrewsbury",Q15229685,male,61,,2013.0
Noble,John_Tinker_(colonial_administrator),Q18162344,male,58,,2014.0
Noble,"John_Tuchet,_4th_Baron_Audley",Q16150122,male,37,,2010.0
Noble,"John_V,_Count_of_Nassau-Siegen",Q78282,male,61,,2010.0
Noble,"John_V,_Lord_of_Arkel",Q1883952,male,66,,2012.0
Noble,"John_V,_Prince_of_Anhalt-Zerbst",Q89423,male,47,,2008.0
Noble,"John_VI,_Prince_of_Anhalt-Zerbst",Q65878,male,46,,2008.0
Noble,"John_VII,_Count_of_Nassau-Siegen",Q819521,male,62,,2004.0
Noble,"John_VII,_Count_of_Oldenburg",Q95422,male,63,,2012.0
Noble,"John_Wallop,_Viscount_Lymington",Q6262841,male,31,,2011.0
Noble,John_X_of_Schleswig-Holstein-Gottorp,Q85256,male,49,,2012.0
Noble,"John_de_Mowbray,_1st_Earl_of_Nottingham",Q6265597,male,18,,2007.0
Noble,"John_de_Mowbray,_3rd_Baron_Mowbray",Q6265601,male,51,,2023.0
Noble,"John_de_Mowbray,_4th_Baron_Mowbray",Q6265603,male,28,,2023.0
Noble,"John_de_Vere,_12th_Earl_of_Oxford",Q3441095,male,54,,2006.0
Noble,"John_de_Vere,_13th_Earl_of_Oxford",Q1332495,male,71,,2003.0
Noble,"John_de_Vere,_14th_Earl_of_Oxford",Q6265654,male,27,,2008.0
Noble,"John_de_Vere,_7th_Earl_of_Oxford",Q3390008,male,48,,2008.0
Noble,Jolie_Gabor,Q2025349,female,101,,2002.0
Noble,Joseph-Geneviève_de_Puisaye,Q1410644,male,72,,2007.0
Noble,"Joseph_Friedrich_Ernst,_Prince_of_Hohenzollern-Sigmaringen",Q472221,male,67,,2012.0
Noble,"Joseph_Hyacinthe_François_de_Paule_de_Rigaud,_Comte_de_Vaudreuil",Q773658,male,77,,2008.0
Noble,Joseph_II_(Schwarzenberg),Q1707284,male,64,,2023.0
Noble,Joseph_Nicholas_of_Windisch-Graetz,Q648278,male,58,,2012.0
Noble,Joseph_de_Picciotto_Bey,Q6288206,male,66,,2010.0
Noble,"Josias_I,_Count_of_Waldeck-Eisenberg",Q829673,male,34,,2012.0
Noble,"Josie_Farrington,_Baroness_Farrington_of_Ribbleton",Q1508303,female,78,,2005.0
Noble,"Josslyn_Hay,_22nd_Earl_of_Erroll",Q6291093,male,40,,2006.0
Noble,"José_Antônio_Moreira_Filho,_2nd_Baron_of_Ipanema",Q6291581,male,69,,2009.0
Noble,"José_Álvarez_de_Toledo,_Duke_of_Alba",Q1997156,male,40,,2006.0
Noble,Jošt_of_Rožmberk,Q329063,male,37,,2012.0
Noble,"Jules,_Prince_of_Soubise",Q2058648,male,27,,2023.0
Noble,"Julia_Abercromby,_Baroness_Abercromby",Q3739023,female,75,,2013.0
Noble,Julia_Dent_Cantacuzène_Spiransky-Grant,Q6306366,female,99,,2023.0
Noble,Juliana_of_Hesse-Darmstadt,Q469975,female,53,,2011.0
Noble,Juliana_of_Hesse-Eschwege,Q527160,female,41,,2008.0
Noble,Juliana_of_Stolberg,Q202566,female,74,,2006.0
Noble,Juliane_Louise_of_East_Frisia,Q99356,female,58,,2011.0
Noble,Juliane_of_Nassau-Dillenburg_(1546–1588),Q2318556,female,42,,2009.0
Noble,Juliane_of_Nassau-Siegen_(1587–1643),Q448124,female,56,,2011.0
Noble,"Julius,_Duke_of_Brunswick-Lüneburg",Q62953,male,61,,2006.0
Noble,"Julius_Frederick,_Duke_of_Württemberg-Weiltingen",Q72760,male,47,,2012.0
Noble,"Julius_Siegmund,_Duke_of_Württemberg-Juliusburg",Q325268,male,31,,2012.0
Noble,"Patrick_Anson,_5th_Earl_of_Lichfield",Q246026,male,66,,2003.0
Noble,"Patrick_Bowes-Lyon,_15th_Earl_of_Strathmore_and_Kinghorne",Q1758535,male,65,,2005.0
Noble,"Patrick_McDouall-Crichton,_6th_Earl_of_Dumfries",Q7615881,male,77,,2005.0
Noble,"Patrick_Moynihan,_2nd_Baron_Moynihan",Q7147271,male,59,,2009.0
Noble,Pauline_de_Talleyrand-Périgord,Q3372775,female,70,,2008.0
Noble,Pauline_von_Metternich,Q79171,female,85,,2005.0
Noble,Paweł_Czartoryski,Q7156155,male,75,,2007.0
Noble,"Pedro_Téllez-Girón,_9th_Duke_of_Osuna",Q7159980,male,52,,2006.0
Noble,Petar_Zrinski,Q508799,male,50,,2005.0
Noble,"Peter_Kerr,_12th_Marquess_of_Lothian",Q7175172,male,82,,2004.0
Noble,"Peter_King,_5th_Earl_of_Lovelace",Q7175193,male,67,,2005.0
Noble,Petronilla_Paolini_Massimi,Q3901082,female,63,,2022.0
Noble,"Reginald_Nevill,_2nd_Marquess_of_Abergavenny",Q7308826,male,74,,2006.0
Noble,"Reginald_West,_6th_Baron_De_La_Warr",Q7308908,male,55,,2005.0
Noble,"Reinhard_III,_Count_of_Hanau",Q91899,male,40,,2012.0
Noble,"Reinhard_IV,_Count_of_Hanau-Münzenberg",Q91219,male,39,,2011.0
Noble,"René,_Marquis_of_Elbeuf",Q2297325,male,30,,2022.0
Noble,"René,_Marquis_of_Elbeuf",Q96141040,,30,,2022.0
Noble,René_of_Chalon,Q654855,male,25,,2003.0
Noble,"Richard_Beauchamp,_13th_Earl_of_Warwick",Q592988,male,57,,2003.0
Noble,"Richard_Boyle,_1st_Earl_of_Burlington",Q5590389,male,86,,2003.0
Noble,"Richard_Boyle,_1st_Earl_of_Cork",Q2485385,male,77,,2002.0
Noble,"Richard_John_Wrottesley,_5th_Baron_Wrottesley",Q7326887,male,59,,2012.0
Noble,"Richard_Neville,_16th_Earl_of_Warwick",Q437571,male,43,,2002.0
Noble,"Richard_West,_7th_Baron_De_La_Warr",Q7329898,male,46,,2005.0
Noble,"Richard_de_Clare,_6th_Earl_of_Gloucester",Q661604,male,40,,2004.0
Noble,"Richard_de_Vere,_11th_Earl_of_Oxford",Q659733,male,32,,2007.0
Noble,Richard_von_Coudenhove-Kalergi,Q78525,male,78,,2004.0
Noble,Richard_von_Metternich,Q601640,male,66,,2010.0
Noble,"Robert,_Duke_of_Bar",Q570573,male,67,,2008.0
Noble,"Robert_Bertie,_1st_Earl_of_Lindsey",Q7342073,male,60,,2005.0
Noble,"Robert_Devereux,_2nd_Earl_of_Essex",Q437917,male,36,,2002.0
Noble,"Robert_Edgcumbe,_8th_Earl_of_Mount_Edgcumbe",Q7343956,male,82,,2008.0
Noble,"Charles_Dormer,_2nd_Earl_of_Carnarvon",Q3666382,male,77,,2007.0
Noble,"Charles_I,_Duke_of_Münsterberg-Oels",Q553134,male,60,,2011.0
Noble,"Ulrich,_Duke_of_Pomerania",Q118299,male,33,,2012.0
Noble,"Ulrich,_Duke_of_Württemberg",Q61671,male,63,,2004.0
Noble,Ulrik_Adolf_Holstein,Q4993197,male,73,,2012.0
Noble,"Ulrik_Christian_Gyldenløve,_Count_of_Samsø",Q423611,male,41,,2005.0
Noble,Umdat_ul-Umara,Q7881448,male,53,,2009.0
Noble,Ursula_of_Brandenburg,Q456916,female,22,,2006.0
Noble,"Ursula_of_Brandenburg,_Duchess_of_Münsterberg-Oels",Q327994,female,58,,2011.0
Noble,Vasireddy_Venkatadri_Nayudu,Q7916831,male,56,,2007.0
Noble,Vera_Mary_St_Clair-Erskine,Q75308454,female,88,,2023.0
Noble,"Vere_Fane,_5th_Earl_of_Westmorland",Q21069486,male,20,,2015.0
Noble,"Vicente_Sartorius,_4th_Marquess_of_Mariño",Q7925200,male,71,,2008.0
Noble,Victoire_de_Rohan,Q2322485,female,64,,2009.0
Noble,"Victor,_Duke_of_Münsterberg",Q324242,male,57,,2011.0
Noble,"Victor-Maurice,_comte_de_Broglie",Q3557104,male,80,,2004.0
Noble,Victor_Scipion_Charles_Auguste_de_La_Garde_de_Chambonas,Q3557107,male,80,,2010.0
Noble,"Victoria_Eugenia_Fernández_de_Córdoba,_18th_Duchess_of_Medinaceli",Q7926698,female,96,,2010.0
Noble,Viktor_von_Düben,Q74897257,male,49,,2020.0
Noble,"Viola_Grosvenor,_Duchess_of_Westminster",Q7933019,female,75,,2008.0
Noble,Viscount_Cowdray,Q7935739,,71,,2004.0
Noble,Vittoria_Accoramboni,Q379412,female,28,,2005.0
Noble,Vojtěch_I_of_Pernštejn,Q1513018,male,44,,2012.0
Noble,David_Curiel,Q69990180,male,72,,2019.0
Noble,David_Home_of_Crossrig,Q18527559,male,64,,2022.0
Noble,David_de_Pury,Q3019045,male,77,,2020.0
Noble,Donald_Cameron_of_Lochiel_(1835–1905),Q5294124,male,70,,2007.0
Noble,Ivan_Ratiev,Q14543072,male,90,,2011.0
Noble,Izabela_Elżbieta_Morsztyn,Q6101463,female,85,,2010.0
Noble,"Jacques-Nompar_II_de_Caumont,_duc_de_La_Force",Q16197764,male,67,,2023.0
Noble,"James_of_Castile,_Lord_of_Cameros",Q954274,male,16,,2012.0
Noble,Jan_Dobrogost_Krasiński,Q11717308,male,78,,2004.0
Noble,Johan_Gabriel_Sparwenfeld,Q377037,male,72,,2009.0
Noble,Johanna_von_Westphalen,Q1665698,female,80,,2006.0
Noble,"John_Augustus,_Prince_of_Anhalt-Zerbst",Q71178,male,65,,2008.0
Noble,Lorenzo_de'_Medici,Q177854,male,43,,2002.0
Noble,Pauline_von_Montgelas,Q2063832,female,87,,2020.0
Noble,Praskovya_Alexandrovna_Hendrikova,Q105413104,female,41,,2021.0
Noble,"Przemyslaus_I_Noszak,_Duke_of_Cieszyn",Q690312,male,76,,2008.0
Noble,Przemysł_I_of_Greater_Poland,Q74609,male,36,,2003.0
Noble,Conrad_von_Reventlow,Q1127094,male,64,,2007.0
Noble,"Constance_of_Aragon,_Princess_of_Villena",Q108377354,,27,,2021.0
Noble,Consuelo_Vanderbilt,Q265898,female,87,,2003.0
Noble,Cosimo_de'_Medici,Q48544,male,75,,2003.0
Noble,"Cosmo_Gordon,_3rd_Duke_of_Gordon",Q760750,male,32,,2005.0
Noble,Count_Ferdinand_Edzard_of_East_Frisia,Q98517,male,32,,2011.0
Noble,Count_Johann_Hartwig_Ernst_von_Bernstorff,Q70887,male,60,,2004.0
Noble,Count_Palatine_William_of_Gelnhausen,Q112857,male,59,,2012.0
Noble,Countess_Amalie_Henriette_of_Solms-Baruth,Q2413205,female,79,,2012.0
Noble,Countess_Anna_Catherine_of_Nassau-Ottweiler,Q3817942,female,78,,2011.0
Noble,Countess_Caroline_Felizitas_of_Leiningen-Dagsburg,Q5177056,female,76,,2010.0
Noble,Countess_Catharina_Belgica_of_Nassau,Q447766,female,70,,2007.0
Noble,Countess_Charlotte_of_Dohna-Leistenau,Q2616024,female,47,,2006.0
Noble,Countess_Emilia_Antwerpiana_of_Nassau,Q443511,female,76,,2007.0
Noble,Countess_Johanna_Magdalene_of_Hanau-Lichtenberg,Q544152,female,55,,2011.0
Noble,Countess_Johanna_Sophia_of_Hohenlohe-Langenburg,Q91546,female,70,,2011.0
Noble,Countess_Karoline_Ernestine_of_Erbach-Schönberg,Q2291709,female,69,,2007.0
Noble,Countess_Maya_von_Schönburg-Glauchau,Q47088029,female,61,,2018.0
Noble,Countess_Palatine_Anna_Magdalena_of_Birkenfeld-Bischweiler,Q97033,female,53,,2011.0
Noble,Countess_Palatine_Anna_of_Veldenz,Q70019,female,46,,2011.0
Noble,Countess_Palatine_Barbara_of_Zweibrücken-Neuburg,Q101172,female,59,,2012.0
Noble,Countess_Palatine_Dorothea_Catherine_of_Birkenfeld-Bischweiler,Q74862,female,81,,2011.0
Noble,Countess_Palatine_Eleonora_Catherine_of_Zweibrücken,Q74673,female,66,,2009.0
Noble,Countess_Palatine_Elisabeth_Auguste_Sofie_of_Neuburg,Q65713,female,35,,2006.0
Noble,Countess_Palatine_Ernestine_of_Sulzbach,Q111309,female,78,,2011.0
Noble,Countess_Palatine_Franziska_Christine_of_Sulzbach,Q92439,female,80,,2023.0
Noble,Countess_Palatine_Helena_of_Simmern,Q98321,female,47,,2012.0
Noble,Countess_Palatine_Magdalena_Claudia_of_Zweibrücken-Birkenfeld-Bischweiler,Q88594,female,36,,2011.0
Noble,Countess_Palatine_Magdalene_Catherine_of_Zweibrücken,Q459370,female,41,,2024.0
Noble,Countess_Palatine_Margaret_of_Mosbach,Q110573,female,25,,2012.0
Noble,Countess_Sophia_Albertine_of_Erbach-Erbach,Q463339,female,59,,2011.0
Noble,Countess_Sophie_Henriette_of_Waldeck,Q453818,female,40,,2011.0
Noble,"Cromartie_Sutherland-Leveson-Gower,_4th_Duke_of_Sutherland",Q5187561,male,62,,2005.0
Noble,Mary_Sidney,Q469059,female,60,,2004.0
Noble,"Mary_Stanley,_Countess_of_Derby",Q18648958,female,77,,2014.0
Noble,Mary_of_Nassau-Siegen_(1418–1472),Q24661992,female,54,,2022.0
Noble,"María_Cayetana_de_Silva,_13th_Duchess_of_Alba",Q260128,female,40,,2006.0
Noble,"María_Cristina_Muñoz_y_Borbón,_Marquise_of_la_Isabela",Q66023110,female,81,,2019.0
Noble,María_Luisa_Manrique_de_Lara_y_Gonzaga,Q17621918,female,72,,2017.0
Noble,María_Manuela_Kirkpatrick_de_Grevignée,Q2338181,female,85,,2023.0
Noble,"María_del_Rosario_de_Silva,_Duchess_of_Alba",Q6782186,female,34,,2010.0
Noble,Mathias_Franz_Graf_von_Chorinsky_Freiherr_von_Ledske,Q936468,male,66,,2012.0
Noble,"Matilda_of_Brabant,_Countess_of_Artois",Q264017,female,64,,2007.0
Noble,Matilda_of_Hesse,Q3298989,female,32,,2012.0
Noble,"Matthew_Stewart,_4th_Earl_of_Lennox",Q727905,male,55,,2004.0
Noble,"Maud_Carnegie,_Countess_of_Southesk",Q439167,female,52,,2003.0
Noble,Maud_Green,Q6792225,female,39,,2008.0
Noble,"Maurice,_Duke_of_Saxe-Zeitz",Q565445,male,62,,2007.0
Noble,Maurice_Frederick_of_Nassau-Siegen,Q108190574,male,17,,2022.0
Noble,"Maurice_Henry,_Prince_of_Nassau-Hadamar",Q164377,male,53,,2012.0
Noble,Maurice_de_Talleyrand-Périgord,Q61628608,male,74,,2019.0
Noble,Maurycy_Klemens_Zamoyski,Q1911719,male,68,,2005.0
Noble,"Maximilian,_Duke_of_Hohenberg",Q78596,male,60,,2004.0
Noble,"Maximilian,_Prince_of_Hornes",Q2581271,male,68,,2005.0
Noble,"Maximilian_Henry,_Count_of_Wied-Runkel",Q98020,male,25,,2012.0
Noble,"Maximilian_I,_Prince_of_Hohenzollern-Sigmaringen",Q472209,male,53,,2012.0
Noble,Maximilian_Karl_Lamoral_O'Donnell,Q876792,male,83,,2007.0
